Column,30 September 2017
"Current price, FRw",280
"Market Cap, US$ mln",225
Free float,45%
Free float in US$ mln,101.4
Average daily turnover in US$ mln,0.12
"Common shares outstanding, mlnshares",674.5
12-month high,280
12-month low,276
P/E 2017(based on current price),7.86x
P/BV 2017 (based on current price),1.54x
"Dividend yield, 2016(based on current price)",5.4%
"EPS, 2017",35.0
Ticker Code,BOK
Bloomberg,BOK. RW
"FRw/USD Exchange Rate of 837.7 as at30 September 2017 (BNR Middle
Rate)",
*Capitalgains on RSE transactions are exempted from Capital Gains Tax,
