Directors' remuneration,"655,610","398,167"
Audit fees,"71,316","94,858"
"Rent, repairs and maintenance","1,645,279","1,825,933"
Utilities,"721,958","690,021"
"Postage, photocopying and printing","669,559","680,845"
Travel and accommodation expenses,"921,874","810,514"
Security and cash in transit costs,"1,889,076","1,828,950"
Marketing and publicity,"1,384,321","799,398"
Statutory fees,"986,346","727,852"
Legal and consultancy fees,"2,164,236","3,235,119"
Unclaimed VAT on expenditure,"1,812,780","1,395,372"
Telephone and internet costs,"3,121,128","1,735,015"
Charitable donation,"361,091","276,899"
Account maintenance costs,"63,529","14,033"
Tax related provision,"(1,264,037)","1,638,985"
Credit and debit card costs,"3,500,676","2,916,783"
Other general expenses,"540,341","760,951"
,"19,245,083","19,829,695"
