Column,Column,Capital,Réserves,Réserves,Autres,Report à,Dividendes et,Total
,Note,,légales,spéciales,réserves,nouveau,tantième,
,,FRW'000,FRW'000,FRW'000,FRW'000,FRW'000,FRW'000,FRW'000
Au 31 décembre 2006,,1.500.000,983.854,1.069.088,3.455.060,2.967.264,0,9.975.266
Ajustements 2006,24,0,0,0,42.629,0,0,0
Report au 1 janvier 2007,,1.500.000,983.854,1.069.088,3.497.689,2.967.264,0,10.017.895
Affectation du résultat 2006,,0,296.000,296.000,889.000,-2.962.480,1.481.480,0
Dividendes distribuées,,0,0,0,0,0,-1.481.480,-1.481.480
Réduction des réserves,,0,0,0,-3.505.000,0,0,-3.505.000
Augmentation du capital,,3.505.000,0,0,0,0,0,3.505.000
Bénéfice net de la période,,0,0,0,0,4.266.249,0,4.266.249
Au 31 décembre 2007,,5.005.000,1.279.854,1.365.088,881.689,4.271.033,0,12.802.664
