Column,Note,2010,2009
ASSETS,,Rwf ‘000,Rwf ‘000
Cash in hand,3,"6,881,845","4,623,520"
Cash balances with the National Bank of Rwanda,4,"22,562,505","19,099,158"
Due from banks,5,"38,452,178","28,754,599"
Loans and advances to customers,6,"101,402,657","77,095,866"
Financial investments – held-to-maturity,7,"5,224,395","12,312,906"
Financial investments – available-for-sale,8,"268,375","315,108"
Other assets,9,"4,390,670","3,277,799"
Intangible assets,10,"180,604","16,892"
Property and equipment,11,"18,313,417","6,375,155"
TOTAL ASSETS,,"197,676,646","151,871,003"
LIABILITIES AND EQUITY,,,
Customer deposits,12,"135,677,746","109,482,804"
Due to banks,13,"18,920,636","15,103,987"
Tax payable,24,"496,815","1,036,637"
Other payables,14,"6,841,125","4,388,591"
Dividend payable,,-,"2,643,482"
Deferred tax,24,"3,870,437","674,739"
TOTAL LIABILITIES,,"165,806,759","133,330,240"
EQUITY,,,
"Share capital
Revaluation Surplus","15
16","5,005,000
7,150,542","5,005,000
-"
Reserves,16,"13,535,763","10,892,282"
Retained earnings,16,"6,178,582","2,643,481"
TOTAL EQUITY,,"31,869,887","18,540,763"
TOTAL LIABILITIES AND EQUITY,,"197,676,646","151,871,003"
