THE BANK,Column,BK GROUP,Column
2017,2016,2017,2016
FRw’000,FRw’000,FRw’000,FRw’000
"34,005,015","29,943,087","34,172,034","29,981,115"
"3,801,718","3,521,710","3,884,073","3,513,410"
"617,137","433,192","617,137","441,761"
"(852,793)","(50,723)","(852,793)","(50,723)"
"2,084,387","4,052,702","2,084,387","4,052,702"
"1,091,939","481,001","1,091,939","481,001"
"(47,651)","(32,427)","(47,651)","(32,427)"
"40,699,752","38,348,542","40,949,126","38,386,839"
"(85,879,745)","(71,899,035)","(85,879,745)","(71,899,035)"
"(1,940,080)","(797,972)","(2,574,243)","(622,262)"
"37,124,670","34,303,563","36,196,130","34,303,563"
"(2,642,237)","(1,989,951)","(2,529,998)","(1,989,951)"
"9,542,880","(3,369,903)","11,103,733","(3,369,901)"
"(12,464,786)","(5,063,962)","(12,532,032)","(5,063,962)"
"(15,559,546)","(10,468,718)","(15,267,029)","(10,254,709)"
"(724,563)","(518,599)","(780,609)","(575,115)"
"(4,786,834)","(4,787,469)","(5,001,970)","(4,844,962)"
"1,876,780","50,723","1,876,780","50,723"
"(1,200,000)","(1,100,000)",-,-
"(333,502,798)","(385,606,513)","(333,502,798)","(385,606,513)"
"317,216,481","401,147,105","317,216,481","401,147,105"
"47,651","32,427","47,651","32,427"
"(21,073,283)","9,217,674","20,144,465","10,203,665"
"(8,304,345)","(8,187,096)","(8,304,345)","(8,187,096)"
"31,362,073","19,958,446","31,362,073","19,958,446"
"(20,833,291)","(9,830,725)","(20,833,291)","(9,830,725)"
"20,942","2,586","20,942","2,586"
THE BANK,,BK GROUP,
2017,2016,2017,2016
"240,833","29,739","240,833","29,739"
"2,486,212","1,972,950","2,486,212","1,972,951"
"(34,146,617)","721,906","(32,925,282)","1,921,906"
"1,277,029","(2,882,861)","1,277,029","(2,882,861)"
"77,678,531","79,839,486","77,778,531","78,739,486"
"44,808,943","77,678,531","46,130,278","77,778,531"
