Assets,"Up to one
month",1-3 months,3-6 months,6-12 months,1-5 years,Over 5 years,Total
,RwF’000,RwF’000,RwF’000,RwF’000,RwF’000,RwF’000,RwF’000
Cash in hand,"4,623,520",-,-,-,-,-,"4,623,520"
"Cash balances with the national
Bank of Rwanda","19,099,158",-,-,-,-,-,"19,099,158"
"Placements and balances with
other banking institutions","28,754,599",-,-,-,-,-,"28,754,599"
"Loans and advances to
customers","17,411,423","2,249,739","3,243,482","6,661,809","33,099,395","14,430,018","77,095,866"
"Financial investments – held-to-
maturity","1,633,570","4,891,122","694,088","1,328,319","3,765,807",,"12,312,906"
"Financial investments – available-
for-sale",,-,-,-,-,"315,108","315,108"
other assets,"3,277,799",-,-,-,-,,"3,277,799"
Intangible assets,-,-,-,-,-,"16,892","16,892"
Property and equipment,-,-,-,-,-,"6,375,155","6,375,155"
total assets,"74,800,069","7,140,861","3,937,570","7,990,128","36,865,202","21,137,173","151,871,003"
Liabilities and equity,,,,,,,
Customer deposits,"84,907,759","8,621,652","7,493,378","6,746,157","1,713,858",,"109,482,804"
"Deposits and balances from
banks and other financial
Institutions","8,168,986","1,005,001","2,000,000","3,930,000",-,-,"15,103,987"
tax payable,,-,"1,036,637",-,-,-,"1,036,637"
other payables,"4,369,863",-,-,-,-,-,"4,369,863"
Provisions,"18,728",-,-,-,-,-,"18,728"
Deferred tax,"674,739",-,-,-,-,-,"674,739"
"total liabilities at 31 December
2009","98,140,075","9,626,653","10,530,015","10,676,157","1,713,858",-,"130,686,758"
"owners’ equity at 31 December
2009",-,-,-,-,-,"21,184,245","21,184,245"
Maturity gap for 2009,"(23,340,006)","(2,485,792)","(6,592,445)","(2,686,029)","35,151,344","(47,072)",-
"off statement of financial position
gap 2009",negative,negative,negative,negative,Positive,negative,-
