Column,THE BANK,Column,THE GROUP
Equity Investments,2017,2016,2017
Prepayments and other receivables,"4,257,624","2,825,263","4,257,624"
BK Subsidiaries other assets,-,-,"930,448"
Clearing accounts,"6,263,937","5,756,218","6,263,937"
,"10,521,561","8,581,481","11,452,009"
