Capital management,Capital,Column,Solvency,Column,Column
,2019,2018,2019,,2018
,,,,9,
,FRw’000,FRw’000,FRw’000,,FRw’000
Regulatory requirement,"1,000,000","1,000,000","1,027,558",,"624,268"
Maintained by company,"2,857,143","2,000,000","2,441,228",,"1,105,675"
