Column,2010,2009,2008
,RwF 000,RwF 000,RwF 000
Loans and advances to employees,"1,846,315","1,096,678","1,388,466"
Loans and advances to directors and their associates,"107,973","88,234","61,448"
Total,"1,954,288","1,184,912","1,449,914"
