Entity,Total Assets Net Loans Customer Deposits Equity,Column,Column,Column,Column,Column,Column,Column
,% Market Share,Rank,% Market Share,Rank,% Market Share,Rank,% Market Share,Rank
,35.8%,1,49.1%,1,37.4%,1,42.0%,1
,15.6%,2,20.7%,2,15.4%,2,16.0%,2
,12.1%,3,2.5%,8,6.8%,5,4.3%,6
,10.6%,4,10.6%,3,9.8%,4,9.5%,3
,6.4%,5,5.9%,4,5.7%,6,6.1%,5
,5.4%,6,1.6%,9,3.2%,8,3.4%,8
,4.5%,7,2.6%,8,5.7%,7,3.7%,7
,3.4%,8,0.0%,10,13.7%,3,8.9%,4
,3.4%,9,4.2%,5,2.8%,10,3.4%,9
,2.8%,10,2.8%,6,2.8%,9,2.6%,10
