Column,"31 December 2019
FRw’000","31 December 2018
FRw’000"
Clearing accounts,"313,807","1,050,020"
Other receivables,"8,692,595","5,855,956"
Prepayments,"3,951,455","3,055,957"
Expected credit loss,"(3,049,410)","(2,094,324)"
,"9,908,447","7,867,609"
