"31 December
2020"
FRw’000
"57,066,286"
"1,490,354"
"1,376,957"
"832,064"
"(270,093)"
"6,241,428"
"(125,000)"
"37,128,906"
"103,740,902"
"(210,222,831)"
"181,230"
"(7,662,203)"
"(11,225,507)"
"148,112,462"
"67,904,959"
"899,832"
"1,634,107"
"6,214,714"
"(615,319)"
"(23,692,124)"
"75,270,222"
"(4,583,971)"
"(3,070,291)"
"270,093"
"(17,224,800)"
"(12,166,178)"
"(1,216,854)"
"125,000"
"(37,867,001)"
"(4,785)"
"35,832,800"
"(23,110,767)"
-
-
"12,717,248"
"50,120,469"
"(4,779,502)"
"84,971,711"
"130,312,678"
