Column,30 June 2015
"Current price, FRw",290
"Market Cap, US$ mln",271
Free float,45%
Free float in US$ mln,127.4
Average daily traded volume in US$ mln,0.38
"Common shares outstanding, mlnshares",671.9
12-month high,365
12-month low,170
P/E 2015(based on current price),8.70x
P/BV 2015 (based on current price),1.94x
"Dividend yield, 2014 (based on price of FRw296)",5.5%
"EPSannualised,1H 2015",33.2
Ticker Code,BOK
Bloomberg,BOK. RW
FRw/USD Exchange Rate of 719.541 as at30 June 2015 (BNR Middle Rate),
*Capitalgains on RSE transactions are exempted from Capital Gains Tax,
