term,DeFInItIon
“ADmIn“,Administration
“AFD”,Agence Française de Développement
‘’ADB’’,African Development Bank
“AGm”,Annual General Meeting of shareholders as defined in the Articles of the Bank
“Applicant”,An entity or person that applies for the offer shares
“Application Form”,the application form for purchase of the offer shares
“Articles”,the memorandum and articles of association of the Bank
“Auditor”,ernst & Young (Rwanda) sARL
“Authorised cheque”,Bankers or Authorised selling Agents cheque
“Authorised selling Agents” or “AsA”,"the licensed brokers, licensed commercial banks and the Receiving Bank listed in Appendix Ix"
‘’Authorized share capital’’,"RwF 7,024,600,000 divided into 702,460,000 shares each of a par value of RwF10"
‘’Bank of Kigali’’ or ‘’Bank’’ or “Issuer”,"Bank of Kigali Limited, a Bank incorporated in Rwanda on 22 December 1966 with company
registration number 100003458 and whose registered office is located in Kigali."
“Bankers cheque / Draft”,A cheque / draft issued by a commercial bank licensed by BnR
‘’Belgolaise’’,"Belgolaise s.A., a Bank incorporated in Belgium"
“Blueprint”,Blueprint published by CMAC relating to the Rwanda otC Market dated november 2007
“Bnr”,Banque nationale du Rwanda / national Bank of Rwanda
“BoD” or “Board” or “Directors”,"the Bank of Kigali board of directors, which comprises the persons named in Part Five as the
directors of the Bank"
“BrALIrWA”,Brasseries et Limonaderies du Rwanda
“BrD”,Rwanda Development Bank or Banque Rwandaise de Développement
‘’BVPs’’,Book value Per share
“cabinet”,the Cabinet of the Government of the Republic of Rwanda
“caisse sociale du rwanda”,social security Fund of Rwanda
“cAGr”,Compound annual growth rate
“cAr”,Capital Adequacy Ratio which equals total Capital divided by risk weighted assets
“cDsc rwanda”,CDsC Registrars Rwanda Limited
“closing Date”,29 July 2011
“cmA”,"the proposed Capital Market Authority, Rwanda"
“cmAc”,Capital Markets Advisory Council
“comesA”,Common Market for east and southern Africa
“companies Act”,the Law no. 07/2009 of 27/04/2009 relating to Companies as amended from time to time
“core capital” or “tier I capital”,"Permanent shareholders' equity in the form of issued and fully paid up shares plus all disclosed
reserves, less goodwill and any intangible assets"
“co-sponsoring Broker”,Dyer & Blair Rwanda Limited
“csD”,Central securities Depository
“csD 1r Form”,CsD Account opening Form
“csD 5r Form”,CsD Pledge Form
“csD Law”,"the Law Governing the Holding and Circulation of securities no. 26/2010 of 28/5/2010 gazetted on
28 May 2010"
“Domestic Pool”,the pool of shares set aside for application by Retail east Africans including Directors and employees
“east African”,Citizens of the east African Community including corporations incorporated in the eAC
“east African community” or “eAc”,"the regional intergovernmental organization whose current partner states include the Republic of
Rwanda, the Republic of Kenya, the United Republic of tanzania, the Republic of Uganda, and Republic
of Burundi, set up by treaty, with its headquarters in Arusha, tanzania"
“eFt”,electronic Funds transfer
“eGm”,"A special meeting of shareholders convened in accordance with the Articles of the Bank other than
the AGM"
‘’eIB’’,european Investment Bank
‘’eIu’’,economic Intelligence Unit
"""employee""",Any person in the employment of the Bank of Kigali as at the date of this Prospectus
‘’ePs’’,earnings Per share
‘’esoP’’,employee share ownership Plan of the Bank as described in this Prospectus
“eu”,european Union
“euro”,"the lawful currency of the 17 members of the european Union which have entered into an economic
and Monetary Union"
“euro Zone”,17 member nations of the 27 member states of the european Union
“FIn“,Finance
“Foreign Investors”,Investors who are not east Africans
“Foreign currency” or “usD”,"United states Dollars, the legal tender of the United states of America"
“GDP”,Gross Domestic Product
