POOL,SUB-POOL,NUMBER OF SHARES,ALLOCATION %
Domestic Pool,Retail east Africans,"82,891,400",27.60%
,employees and Directors,"7,200,000",2.40%
,QII-eA,"45,045,600",15.00 %
,QII-Rwanda,"45,045,600",15.00 %
International Pool,,"120,121,800",40.00%
totAL oFFer,,"300,304,400",100.00%
