Column,THE BANK,Column,THE GROUP
,2017,2016,2017
Placements with local banks,"5,024,000","3,755,994","6,226,505"
Placements with foreign banks,"45,873,406","79,284,730","45,873,406"
Current accounts with foreign banks,"955,110","1,594,144","955,110"
,"51,852,516","84,634,868","53,055,021"
