Column,2010,2009,2008
,Actual,Actual,Actual
,rwF’000,rwF’000,rwF’000
tier 1 Capital,"24,719,345","21,184,245","15,897,282"
tier 2 Capital,"1,787,636",-,-
total Capital,"26,506,981","21,184,245","15,897,282"
total risk weighted assets,"131,991,717","106,506,172","106,414,729"
tier 1 capital ratio,18.73%,19.89%,14.94%
total capital ratio,20.08%,19.89%,14.94%
