Column,31 October 2014
"Current price, RwF",296
"Market Cap, US$ mln",288
Free float,45%
Free float in US$ mln,130.7
Average daily traded volume in US$ mln,0.13
"Common shares outstanding, mln shares",671.4
12-month high,365
12-month low,170
P/E 2014 (based on current price),11.5x
P/BV 2014 (based on current price),2.42x
"Dividend yield, 2013",4.6%
"Dividend yield, 2014 (based on current price)",4.34
Ticker Code,BOK
Bloomberg,BOK. RW
Rwf/USD Exchange Rate of 689.451 as at 31 October 2014,
*Capital gains on RSE transactions are exempted from Capital Gains Tax,
