"Financial Statements
Cash flows from operating activities
For The Year Ended 31 December 2024
Profit before income tax",Column,Column,Column,Column
,"tatements
Cash flows from operating activities",Note,"2024
Frw’000","2023
Frw’000"
,,,"126,103,698",
,,,"7,061,088",
,,,"3,519,449",
,,,"(141,647)",
,,,"543,259",
,,,"9,548,858",
,,,"173,477",
,,,"(42,029)",
,,,"38,886,151",
,,,"(4,011,892)",
,,,"317,386",
,,,"(3,739,351)",
,,,"(1,453,262)",
,,,"176,765,185",
,,,"(246,728,005)",
,,,"(411,251)",
,,,"(5,148,145)",
,,,"(14,780,638)",
,,,"271,508,632",
,,,"63,418,429",
,,,"(2,158,240)",
,,,"27,528,734",
,,,"466,145",
,,,"270,460,846",
,,,"(30,312,424)",
,,,"240,148,422",
,,,"(7,811,263)",
,,,"(7,847,089)",
,,,"562,371",
,,,"(426,298,314)",
,,,"341,970,472",
,,,"(6,175,300)",
,,,"1,204,648",
,,,"(1,688,589)",
,,,"2,104,027",
,,,"42,029",
,,,"(103,937,008)",
,,,"(23,677,180)",
,,,"(173,477)",
,,,"(7,923,749)",
,,,"22,003,979",
,,,"(15,399,850)",
,,,"(880,292)",
,,,"23,689",
,,,"651,463",
,,,"(25,375,417)",
,,,"110,835,997",
,,,"352,382,421",
,,,"463,218,418",
,,,"46,873,790",
,,,"251,118,890",
,,,"42,029",
