Column,"31 December 2019
FRw’000","31 December 2018
FRw’000"
Current accounts,"436,550,793","386,136,663"
Fixed deposit accounts,"176,949,611","119,877,798"
Savings accounts,"25,750,989","20,450,906"
Collateral and other deposits,"3,447,406","5,493,978"
,"642,698,799","531,959,345"
