SHAREHOLDER,NUMBER OF SHARES,% OF ISSUED SHARES,DESCRIPTION OF SHAREHOLDER
Government of Rwanda,"332,002,000",66.33,Government of the Republic of Rwanda
"Social Security Fund of
Rwanda","168,443,000",33.65,Social Security Fund of Rwanda
PRIME Holding S.A.R.L,"11,000",0.002,Property Management Company
OCIR Cafe,"11,000",0.002,National Coffee Board
OCIR The,"11,000",0.002,National Tea Board
National Post Office,"11,000",0.002,National Post Office
RAMA,"11,000",0.002,National Health Insurance Fund
TOTAL,"500,500,000",100,
