Column,Less than 30 days,31-90 days,Total
,2009,2009,2009
,Rwf’000,Rwf’000,Rwf’000
Overdrafts,"2,971,247","482,719","3,453,966"
Treasury loans,"12,336,190","2,131,253","14,467,443"
Equipment loans,"6,189,577","1,844,773","8,034,350"
Consumer loans,"17,311,798","2,766,249","20,078,046"
Mortgage loans,"22,769,601","5,130,570","27,900,171"
Other loans to clients,-,-,-
Receivables in transit,-,"294,683","294,683"
Total,"61,578,413","12,650,247","74,228,660"
