19.5%,Column,14.0%
5.0%,Energy and Water,1.1%
9.6%,Construction,0.6%
12.1%:,Hotels and Restaurants,12.6%
8.9%,"Mortgage, Lease, and Other Services",2.0%
10.0%,,
