Sustained Growth,Profits & Margins,Enhancing Value
"Total Assets: RWF 2,606 Bn
(↑3.3% YTD)","Profit After Tax: RWF 25Bn
(↑ 5.4% YoY)","Shareholder’s Equity: RWF 463Bn
(↑ 5.6% YTD)"
"Loans & Advances: RWF 1,548Bn
(↑ 6.5% YTD)","Cost-to-Income Ratio: 33.9%
(FY 2024: 38.1%)
(Q1 2024: 36.9%)","Return on Equity: 22.3%
(FY 2024: 22.6%)"
"Customer Deposits: RWF 1,6Bn
(↑ 2.3 % YTD)","EPS of RWF 108.22
(FY 2024: RWF 97.8)","Return on Assets: 3.9%
(FY 2024: 3.9%)"
