Entity,Total Assets 11Net Loans Customer Deposits Equity,Column,Column,Column,Column,Column,Column,Column
,% Market Share,Rank,% Market Share,Rank,% Market Share,Rank,% Market Share,Rank
,37.3%,1,44.7%,1,36.2%,1,44.7%,1
,11.4%,2,10.3%,2,10.7%,3,9.5%,3
,10.8%,3,9.1%,4,10.2%,4,8.7%,4
,10.3%,4,10.2%,3,11.3%,2,9.8%,2
,7.5%,5,8.3%,5,7.1%,5,5.9%,6
,6.7%,6,7.7%,6,6.7%,6,6.4%,5
,4.4%,7,2.1%,8,2.1%,8,4.5%,7
,3.8%,8,1.7%,10,1.7%,10,3.7%,8
,3.1%,9,2.3%,7,2.3%,7,3.3%,9
,2.8%,10,1.6%,11,1.6%,11,1.5%,11
,1.9%,11,1.9%,9,1.9%,9,2.0%,10
