Column,"31 December 2019
FRw ‘000","31 December 2018
FRw ‘000"
(i) Admitted assets,"10,443,432","6,097,796"
(ii) Admitted liabilities,"8,002,204","5,012,513"
Solvency margin,"2,441,228","1,105,675"
Required margin,"1,027,558","624,268"
Excess,"1,413,670","461,016"
Solvency Coverage Ratio,237.6%,173.8%
