25.,Deferred tax,Column,Column,Column,Column,Column,Column
"The following table shows deferred tax recorded on the statement of financial position in other assets and other liabilities and
changes recorded in the income tax expense:",,,,,,,
,,Year ended 31 December 2010,,Year ended 31 December 2009,,Year ended 31 December 2008,
,,"Deferred tax
liabilities","Income
statement","Deferred tax
liabilities","Income
statement","Deferred tax
liabilities","Income
statement"
,,rwF ‘000,rwF ‘000,rwF ‘000,rwF ‘000,rwF ‘000,rwF ‘000
,Capital allowances,"805,919","131,180","674,739","115,724","555,201",-
,Revaluation of assets-property,"3,064,518",--,--,--,--,--
,total,"3,870,437","131,180","674,739","115,724","555,201",-
