Column,2021,2022,2023,2024,H1 2025
Net Interest Margin,10.9%,9.7%,10.0%,9.4%,9.0%
Non-Performing Loan (NPL) Ratio,5.3%,2.6%,4.5%,3.2%,3.3%
Cost-to-Income (CIR) Ratio,36.3%,45.7%,42.8%,38.1%,36.4%
Cost of Risk Ratio,3.4%,0.9%,1.5%,2.4%,1.1%
