Column,30 November 2012
"Current price, RwF",130
"Market Cap, US$ mln",138
Free float,45%
Free float in US$ mln,66.5
Average daily traded volume in US$ mln,0.1
"Common shares outstanding, mln shares",667.3
12-month high,136
12-month low,118
P/E YE 2012F,6.65x
P/BV YE 2012F,1.31x
"Dividend yield, 2011A",5.2%
"Dividend yield, 2012F",7.7%
Ticker Code,BOK
Bloomberg,BOK. RW
Rwf/USD Exchange Rate (e-o-p) of 629.5 as at 30 November 2012,
*Capital gains on the RSE transactions are exempted from Capital Gains Tax,
