Column,THE BANK,Column,THE GROUP
,2017,2016,2017
i. Personnel expenses,FRw’000,FRw’000,FRw’000
Salaries and wages,"17,997,474","12,280,239","19,083,777"
Medical expenses,"694,772","464,010","696,485"
Pension scheme contributions,"1,010,388","869,332","1,092,079"
Other benefits,"232,414","185,948","255,359"
,"19,935,048","13,799,529","21,127,700"
ii. Depreciation and amortisation,,,
"Depreciation of property and equipment
(Note 22)","3,801,718","3,521,710","3,884,073"
Amortisation of intangible assets (Note 23),"617,137","433,192","617,137"
,"4,418,855","3,954,902","4,501,210"
iii. Administration and general expenses,,,
Directors’ Remuneration,"415,368","309,182","415,368"
Audit Fees,"42,348","131,255","43,351"
"Rent, repairs and Maintenance","1,572,698","1,462,515","1,575,620"
Utilities,"628,335","551,030","628,335"
"Postage, Photocopying and printing","794,627","640,899","799,715"
Travel and Accommodation Expenses,"507,885","423,949","524,016"
Security and cash in transit costs,"1,750,162","1,352,194","1,750,162"
Insurance,"212,620","160,235","212,620"
Marketing and Publicity,"709,511","566,768","715,545"
Statutory fees,"597,156","342,048","598,476"
Legal and Consultancy Fees,"760,132","718,598","761,064"
Unclaimed VAT on expenditure,"1,245,824","903,068","1,245,824"
Telephone and Internet costs,"1,211,458","1,011,709","1,292,596"
Charitable donation,"269,993","223,710","269,993"
Credit and Debit Card Costs,"2,697,781","1,977,650","2,697,781"
Other general expenses,"1,377,860","1,008,467","1,278,022"
,"14,793,758","11,783,277","14,808,488"
