Investor Categorization,"Total number
of shares",%
Government of Rwanda,"198,534,600",29.5%
Rwanda Social Security Board,"168,454,000",25.1%
International Institutional Investors,"111,916,900",16.6%
Retail Investors,"75,529,600",11.2%
Local Institutional Investors,"59,804,700",8.9%
Regional Institutional Investors,"51,249,200",7.6%
Employees and Directors,"6,265,900",0.9%
Other State Owned Entities,"687,900",0.1%
Grand Total,"672,442,800",100.0%
