Column,31 December 2017
"Current price, FRw",300
"Market Cap, US$ mln",290
Free float,45%
Free float in US$ mln,107.4
Average daily turnover in US$ mln,0.12
"Common shares outstanding, mlnshares",674.5
12-month high,300
12-month low,276
P/E 2017(based on current price),8.42x
P/BV 2017 (based on current price),1.65x
"Dividend yield, 2017(based on current price)",5.4%
"EPS, 2017",36.1
Ticker Code,BOK
Bloomberg,BOK. RW
FRw/USD Exchange Rate of 854.0 as at31 December 2017 (BNR Middle Rate),
*Capitalgains on RSE transactions are exempted from Capital Gains Tax,
