Column,Name,Date of Contract,Description of the Contract
1.,national Bank of Rwanda,31/12/2009,Master Repurchase Agreement of securities
2.,BnP Paribas/ Fortis,22/02/2010,"Cash Pledge agreement in relation to existing and
future trade finance related transactions"
3.,Credit Reference Bureau Africa Ltd,3/04/2010,Credit Referencing services eg credit reports
4.,AFD Credit Facility,04/05/2011,"extension of long term senior loan to the Bank
support its medium and long term credit portfolio"
5.,African Development Bank,14/08/2010,Mandate Letter relating to provision of line of credit
6.,european Investment Bank,05/10/2009,sub loan Agreement
7.,orinux Rwanda sARL,03/03/2010,technical support Agreement
8.,Pivot Access,22/07/2009,Maintenance of sMs Banking system
9.,"Delta-Bank Maintenance and technical support
Agreement",01/01/2010,"software Maintenance and technical support
Agreement"
10.,"societe De Interbancaire de Monetique et tele-
compensation Au Rwanda (sIMteL) s.A",06/10/2010,"Certain services relating to electronic payments
systems"
11.,Mediterranean smart Cards Company,27/09/2009,"visa cards, AtMs and Pos"
12.,ZIPP International Plc,26/03/2010,Issuer License and service Provider Agreement
13.,s1 Global Limited,16/09/2010,Licence Agreement for Postillion
14.,eFt Corporation Limited,16/09/2010,"work with s1 Global in marketing, implementing and
supporting the switching system implementation
for the Bank"
Source: Bank of Kigali,,,
