Column,Pre – Offer,Column,Post - Offer,Column
shareholder,no. of shares,% of Issued shares,no. of shares,% of Issued shares
Government of Rwanda,"332,002,000",66.33%,"198,534,600",29.75%
social security Fund of Rwanda,"168,443,000",33.65%,"168,443,000",25.25%
PRIMe Holding s.A.R.L,"11,000",0.002%,"11,000",0.00%
oCIR Cafe,"11,000",0.002%,"11,000",0.00%
oCIR the,"11,000",0.002%,"11,000",0.00%
national Post office,"11,000",0.002%,"11,000",0.00%
RAMA,"11,000",0.002%,"11,000",0.00%
offer shares,-,0.00%,"300,304,400",45.00%
totAL,"500,500,000",100.00%,"667,337,000",100.00%
