Stakeholder,Viewpoint,Relevant Topics,"Communication
Channels",Frequency
Customers,"The largest source of
our deposits and
a main source of
revenue growth","Sustainable banking
practices and lending
activities, superior
customer experience,
world-class gover-
nance, risk manage-
ment","Regular digital and
written communica-
tion",As needed
Employees,"A core pillar of the
Group’s operations
and a key group within
the national commu-
nity that we work to
serve","Empowered and well-
compensated work-
force, material con-
tributors to respective
communities, efficient
groups and integral
facilitators of value
creation solutions","Regular digital and
written communica-
tion",As needed
Investors,"Initial providers of fi-
nancial capital and re-
viewers of the Group’s
financial performance
and evolving strategy","Transparent and
timely financial and
operational disclo-
sures, robust gover-
nance frameworks
and applications",Investor calls,Quarterly
,,,Investor conferences,Minimum 5/year
,,,"Regular digital and writ-
ten communication",As needed
,,,"Investor relations
section on the Group’s
website","Regularly updated as
needed"
"Regulators and
policy makers","Determined by our
listing on the Rwanda
Stock Exchange )RSE(
and the Nairobi Stock
Exchange )NSE(","Transparent and time-
ly financial and op-
erational disclosures
and other mandates
as required by each
authority, public policy
implementation",Financial Earnings,Quarterly
