At 31 December 2024,"Less than
12 months
FRw’000","Over
12 months
FRw’000","Total
Frw’000"
,"21,662,531",-,"21,662,531"
,"236,549,461","15,410,812","251,960,273"
,"387,356,743",-,"387,356,743"
,"233,715,515","29,839,353","263,554,868"
,"1,561,773","17,793,903","19,355,676"
,"1,050,258",-,"1,050,258"
,"310,446,182","1,143,537,459","1,453,983,641"
,-,"16,197,385","16,197,385"
,"17,434,669",-,"17,434,669"
,"1,050,191","1,052,535","2,102,726"
,-,"14,162,601","14,162,601"
,-,"12,067,098","12,067,098"
,"1,210,827,322","1,250,061,144","2,460,888,466"
At 31 December 2024,"Less than
12 months
FRw’000","Over
12 months
FRw’000","Total
Frw’000"
,"223,300,626",-,"223,300,626"
,"1,382,235,790","273,501,977","1,655,737,767"
,"9,088,164",-,"9,088,164"
,"21,814,902",-,"21,814,902"
,"64,716,688",-,"64,716,688"
,"2,216,419",-,"2,216,419"
,"19,284,033","87,667,266","106,951,299"
,-,"377,062,601","377,062,601"
,"1,722,656,622","738,231,844","2,460,888,466"
