Column,"Carrying
amount","Quoted prices in ac-
tive markets","Significant observable
inputs","Significant unobserv-
able inputs"
,,(Level 1),(Level 2),(Level 3)
Assets,FRw'000,FRw'000,FRw'000,FRw'000
"Balances with the National Bank
of Rwanda","64,914,684","64,914,684",-,-
Due from banks,"105,210,355","105,210,355",-,-
Investment securities,"73,594,798",-,"73,594,798",-
Loans and advances to customers,"568,104,724",-,"568,104,724",-
Insurance receivables,"2,877,789",-,"2,877,789",-
Other assets,"9,502,119",-,"9,502,119",-
,"824,204,469","170,125,039","654,079,430",-
