Column,8 May 2015
"Current price, FRw",296
"Market Cap, US$ mln",282
Free float,45%
Free float in US$ mln,127.4
Average daily traded volume in US$ mln,0.13
"Common shares outstanding, mln shares",671.9
12-month high,365
12-month low,170
P/E 2015 (based on current price),9.34x
P/BV 2015 (based on current price),2.09x
"Dividend yield, 2014 (based on price of FRw 296)",5.5%
"EPS annualised, Q1 2015",31.7
Ticker Code,BOK
Bloomberg,BOK. RW
FRw/USD Exchange Rate of 708.144 as at 3rd April 2015 (BNR Middle Rate),
*Capital gains on RSE transactions are exempted from Capital Gains Tax,
