Column,"31 December 2019
FRw’000","31 December 2018
FRw’000"
As at 1 January 2019,-,-
Additions of lease rentals,"4,136,669",-
Interest expense,"282,354",-
Payment of lease rentals,"(992,327)",-
,"3,426,696",-
