2010,Increase/decrease in basis points,Effect on profit before tax (RwF ‘000)
Us$,+/- 10,"(30,872)"
JPY,+/- 10,45
CHF,+/- 10,"14,851"
GBP,+/- 10,"328,738"
eURo,+/- 10,"(33,925)"
others,+/- 10,"6,044"
2009,,
Us$,+/- 10,"(129,571)"
JPY,+/- 10,446
CHF,+/- 10,287
GBP,+/- 10,"3,550"
eURo,+/- 10,"25,277"
others,+/- 10,"3,717"
2008,,
Us$,+/- 10,"66,712"
JPY,+/- 10,474
CHF,+/- 10,"4,443"
GBP,+/- 10,"4,509"
eURo,+/- 10,"(42,595)"
others,+/- 10,"4,182"
