Column,2017,2016
,FRw’000,
Grade 1: Normal risk (between 0-30 days),"525,355,552",
Grade 2: Watch risk (between 31-90 days),"28,926,847",
Allowance for collective assessment,"(3,305,122)",
Net Carrying amount,"550,977,277",
