COST,Column,Column
At 1 January,"134,822","114,107"
Additions,"344,314","20,715"
At 31 December,"479,136","134,822"
AMORTISATION,,
At 1 January,"117,930","101,038"
Charge for the year,"180,602","16,892"
At 31 December,"298,532","117,930"
NET BOOK VALUE,"180,604","16,892"
