To Employees,Column,Column,Column,Column
,"8,986,092",24%,,
To Government,,,,
,"3,926,001",11%,,
,"721,802",2%,,
,"1,196,456",3%,,
,"16,270",0%,,
,"2,721,146",7%,,
,"8,581,675",23%,,
To Shareholders,,,,
,"7,415,118",20%,,
To Expansion and Growth,,,,
,"7,415,118",20%,,
,"4,639,637",13%,,
,"12,054,755",33%,,
Wealth distributed,"37,037,639",100%,"29,125,123",100%
