Lawyer,No. of Files,Total Value RwF Millions,Prospects
Jean Bosco RUsAnGAnwA,19,773,Good
emmanuel RUKAnGIRA,25,"2,644",Good
Leopold MUnDeReRe,19,564,Good
Francois xavier nKURUnZIZA,16,696,Good
Alain nDIBwAMI,15,620,Good
