Type of credit exposure,"Percentage of exposure that is
subject to collateral requirements",Column,Column
,2017,2016,Principal type of security held
Loans and advances to Customers,,,
Retail Loans & Advances,,,
Overdrafts,-,-,
Personal Loans,-,-,
Vehicles loans,70,70,
Mortgage Loans,70,70,
Credit Cards,-,-,
Corporate Loans,100,100,
Loan and advances to Banks,,,
Repos,100,100,
Other loans and advances to banks,-,-,
