Sustained Growth,Profits & Margins,Enhancing Value
"Total Assets: RWF 2,428 Bn
(+14.6% YTD)","Profit After Tax: RWF 69.7Bn
(+26.1% YoY)","Shareholder’s Equity: RWF 420Bn
(+14.6% YTD)"
"Loans & Advances: RWF 1,436Bn
(+15.4% YTD)","Cost-to-Income Ratio: 37.9%
(Q3-23: 42.0%)","Return to Equity: 23.6%
(FY 2023: 21.8%)"
"Customer Deposits: RWF 1,542Bn
(+12.2% YTD)","EPS of RWF 99.8
(Q3-23: RWF 79.2)","Return on Assets: 4.1%
(FY 2023: 3.8%)"
