Column,"2019
FRw ‘000"
Operating lease commitments disclosed as at 31 December 2018,"3,336,048"
"Discounted using the lessee’s incremental borrowing rate of at
the date of initial",
Application;,"2,960,487"
Add: finance lease liabilities recognised as at 31 December 2018,-
(Less): short-term leases not recognised as a liability,-
(Less): low-value leases not recognised as a liability,-
"Add/(less): adjustments as a result of a different treatment of
extension and","1,176,182"
termination options,
Lease liability recognised as at 1 January 2019,"4,136,669"
