"Weighted
interest rate",Column,+/- 100bp
,FRw’000,FRw’000
1.9%,"75,467,884","754,679"
8.3%,"177,802,428","1,778,024"
15.8%,"990,267,321","9,902,673"
,"1,243,537,633","12,435,376"
5.6%,"117,683,500","1,176,835"
9.4%,"307,690,774","3,076,908"
6.2%,"56,026,996","560,270"
,"481,401,270","4,814,013"
,,"7,621,364"
