Column,30 June2016
"Current price, FRw",280
"Market Cap, US$ mln",240
Free float,45%
Free float in US$ mln,108.1
Average daily turnover in US$ mln,0.17
"Common shares outstanding, mlnshares",672.2
12-month high,300
12-month low,273
P/E 2016(based on current price),8.13x
P/BV 2016 (based on current price),1.68x
"Dividend yield, 2015(based on current price)",4.3%
"EPS, 2016",33.1
Ticker Code,BOK
Bloomberg,BOK. RW
FRw/USD Exchange Rate of 783 as at30 June 2016 (BNR Middle Rate),
*Capitalgains on RSE transactions are exempted from Capital Gains Tax,
