Column,Column,2010,2009,2008
,,RwF 000,RwF 000,RwF 000
7.,Financial Investments-held -to-maturity,,,
,treasury Bills,"1,443,672","3,647,644","4,494,583"
,treasury Bonds,"3,780,723","8,665,262",-
,total,"5,224,395","12,312,906","4,494,583"
"Treasury bills and treasury bonds are debt securities issued by the Government of Rwanda and are classified as held - to -
maturity. The bank’s investments in treasury bills and government bonds are carried at amortised cost.",,,,
,,2010,2009,2008
,,RwF 000,RwF 000,RwF 000
8.,Available for sale investments,,,
,a) net available for sale investments,,,
,Banque Rwandaise de Développement s.A,"21,975","21,975","21,975"
,Banque de l’Habitat du Rwanda s.A,"75,000","75,000","75,000"
,Banque de Développement d’etats de Grands Lacs s.A,"5,000","5,000","5,000"
,Magasins Généraux du Rwanda (MAGeRwA),"5,000","5,000","5,000"
,société des transports Internationaux,"20,000","20,000","20,000"
,King Faisal Hospital,"46,733","46,733","46,733"
,société Interbancaire de Monétique et de télécommunication (sIMteL),"166,400","166,400","166,400"
,,"340,108","340,108","340,108"
,Impairment loss (note 8(b)),"(71,733)","(25,000)","(25,000)"
,total,"268,375","315,108","315,108"
,b) Impairment losses for available for sale investments,,,
,At January,"25,000","25,000","366,287"
,Charge of the year,"46,733",-,-
,write back of provision on investment in sIMteL,-,-,"(166,400)"
,write-off of provision on investment in sIMteL,-,-,"(174,887)"
,,"71,733","25,000","25,000"
