At 31 December 2011,Level 1,Level 2,Level 3,Total
Financial investments held-to-maturity,"8,190,524",-,-,"8,190,524"
Financial investments Available- for- sale,-,-,"121,653","121,653"
Total financial assets at fair value,-,-,-,-
,"8,190,524",-,"121,653","8,312,177"
