IFRS Based,"H1 2025
FRw (Bn) US$ (Mln) KES (Bn)","FY 2024
FRw (Bn) US$ (Mln) KES (Bn)","H1 2024
FRw (Bn) US$ (Mln) KES (Bn)","Change
Y-o-Y"
,"5 4.1 37.9 4.9
2 10.8 147.6 19.1
3 55.3 248.8 32.2
2 51.0 175.8 22.7
1 ,754.2 1,228.4 1 58.8
7 2.2 50.6 6.5","2 1.7 15.7 2.0
257.5 1 86.2 24.0
399.1 2 88.6 37.2
307.5 2 22.4 28.7
1 ,522.5 1,100.9 1 42.0
6 8.5 49.6 6.4","27.6 21.0 2.7
2 92.9 2 23.4 28.9
2 84.7 2 17.2 28.1
2 30.0 1 75.4 22.7
1 ,524.7 1,162.9 1 50.3
1 06.1 80.9 10.5","149.8%
(18.1%)
(11.0%)
(18.4%)
15.2%
5.3%"
,"1,682.0 1,177.9 152.2","1 ,454.0 1,051.3 135.6","1 ,418.6 1,082.0 139.8",15.7%
,"3 2.2 22.6 2.9
1 2.4 8.7 1.1
4 6.1 32.3 4.2","3 4.4 24.9 3.2
1 4.6 10.6 1.4
3 2.8 23.7 3.1","36.3 27.7 3.6
11.3 8.6 1.1
31.8 24.3 3.1","(6.4%)
(15.1%)
40.9%"
,"2,644.1 1,851.6 239.3","2 ,521.6 1,823.3 235.2","2 ,333.2 1,779.5 279.6",4.9%
,,,,"(0.5%)
5.9%
(7.3%)
(1.6%)
(10.3%)"
"Interbank Deposits
Client Balances & Deposits
Borrowed Funds
Dividends payable
Other Liabilities","2 22.3 155.7 20.1
1 ,738.5 1,217.4 1 57.4
1 06.5 74.5 9.6
1 8.1 12.7 1.6
7 5.9 53.2 6.9","223.3 1 61.5 20.8
1 ,641.8 1,187.2 1 53.1
114.9 83.1 10.7
1 8.4 13.3 1.7
8 4.6 61.2 7.9","2 51.6 1 91.9 24.8
1 ,463.7 1,116.4 1 44.3
1 16.6 88.9 11.5
22.6 17.2 2.2
64.5 49.2 6.4",
,"2,161.3 1,513.5 195.6","2 ,083.0 1,506.2 194.3","1 ,919.1 1,463.7 230.0",3.8%
,"9 .3 6.5 0.8
8 3.1 58.2 7.5
1 3.3 9.3 1.2
3 77.1 264.1 34.1
4 82.8 338.1 43.7","9.3 6.7 0.9
8 3.1 60.1 7.7
1 3.2 9.6 1.2
332.9 2 40.7 31.1
438.5 317.1 40.9","9 .3 7.1 0.9
82.4 62.9 8.1
13.1 10.0 1.3
3 09.4 2 35.9 30.5
4 14.2 315.9 49.6","0.0%
0.0%
0.6%
13.3%
10.1%"
,"2,644.1 1,851.6 239.3","2 ,521.6 1,823.3 235.2","2 ,333.2 1,779.5 279.6",4.9%
