Column,31-Dec-13,Column
Stratification,Total number of shares,Sum of %
Employees and Directors,"10,153,800",1.5%
Government of Rwanda,"198,534,600",29.7%
Other State Owned Entities,"687,900",0.1%
International Institutional Investors,"141,260,400",21.1%
Local Institutional Investors,"7,307,600",1.1%
Retail Investors,"94,904,300",14.2%
Regional Institutional Investors,"13,905,600",2.1%
Rwanda Social Security Board,"201,695,800",30.2%
Grand Total,"668,450,000",100%
