Risks,Procedures and Measurements,Outcomes in 2023
"Capital and
Solvency Risk","An actively managed capital base to
cover risks inherent in the businesses
through its Asset-Liability Committee
)ALCO(. The adequacy of the Group’s
capital is monitored using, among other
measures, the rules and ratios estab-
lished by the National Bank of Rwanda.","Maintained a strong capital base and
maintained investor, creditor, and market
confidence, and successfully continued
to sustain the future development of the
business.
As at the end of 2023, the Bank’s CAR
stood at 19%, quite above both internal
and regulatory limits."
Funding Risk,"A multitude of ratios are used as es-
sential indicators for the risks associated
with project cashflows.","Maintained a strong capital base and
maintained investor, creditor, and market
confidence, and successfully continued
to sustain the future development of the
business."
Liquidity Risk,"The key measure used by the Group
for managing liquidity risk is the
ratio of net liquid assets to deposits
from customers. The daily liquidity
position is monitored, and regular
liquidity stress testing is conducted
under a variety of scenarios covering
both normal and more severe market
conditions.","Maintained sufficient liquidity to meet its
liabilities when due under both normal
and stressed conditions without incurring
unacceptable losses or risking damage to
the Group’s reputation.
The liquidity coverage ratio was main-
tained at 202.1% and net stable funding
ratio at 128.9% as at the end of 2023."
