Column,2011 Forecast
Investment rates,
Interbank placements - rate,7%
Interbank placements - Foreign Currency,0.25%
Interbank borrowings,
BnR Repo rate,6%
treasury bills rate,7%
treasury Bonds rate,8%
Lending rates,
Retail Loans & advances,14.5%
Corporate Loans & advances,14.5%
Corporate Loans & advances – Foreign Currency,14.5%
Customer and other deposits,
Fixed deposits - Local currency,9%
Fixed deposits - Foreign Currency,0.15%
Demand deposits – Local currency,2%
savings deposits - Local currency,4%
Long term loan – european Investment Bank,11%
Long term loan - Africa Development Bank,7%
subordinated loan – Africa Development Bank,7%
Exchange rates (Average),
Dollar,610
euro,823.5
Pound,957.7
Inflation rate,7%
