Column,High,Low,Average,Period End
,(rwF per u.s. dollar),,,
2011 (to and including 23 June),601.74,594.95,599.35,601.44
2010,594.45,571.14,583.26,594.45
2009,571.24,558.90,568.29,571.24
2008,562.50,542.71,546.96,558.90
Source: BNR,,,,
