Sustained Growth,Profits & Margins,Enhancing Value
"Total Assets: RWF 2,551 Bn
(↑ 3.5% YTD)","Profit After Tax: RWF 25.2Bn
(↑ 12.2% YoY)","Shareholder’s Equity: RWF 393Bn
(↑ 4.4% YoY)"
"Loans & Advances: RWF 1,623Bn
(↑ 6.6% YTD)","Cost-to-Income Ratio: 32.6%
(FY 2024: 36.7%)","Return on Assets: 4.0%
(FY 2024: 4.0%)"
"Customer Deposits: RWF 1,692Bn
(↑ 2.2% YTD)","Operating Income: RWF 62.02Bn
(↑ 1.2% YoY)","NPL Ratio: 3.6%
(FY 2024: 3.2%)"
