Column,2013,2012,2011
Profitability,,,
,4.0%,,
,22.1%,,
,11.1%,,
,20.5%,,
,22.1%,,
,3.3%,,
Efficiency,,,
,48.3%,,
,7.0%,,
,45.0%,,
,3.1%,,
,21.7%,,
,27.5%,,
,14.4%,,
Liquidity,,,
,47.1%,,
,46.0%,,
,65.2%,,
,55.2%,,
,70.5%,,
,84.7%,,
,5.8%,,
,50.2%,,
,71.2%,,
,88.4%,,
,5.0,,
Asset Quality,,,
,6.9%,,
,87.4%,,
,6.1%,,
,5.4%,,
,5.4%,,
,4.5%,,
Capital Adequacy,,,
,23.1%,,
,23.7%,,
,542.5%,,
,17.9%,,
,2.9%,,
Market Sensitivity,,,
,(13.0)%,,
,0.7%,,
,123.0%,,
,0.3%,,
,34.1%,,
Selected Operating Data,,,
,980,,
,0.4,,
,65,,
,5,,
,65,,
,568,,
,"231,409",,
