USD million,2018,2019,2020,2021,2022,9M 2023
Total Assets,983.6,"1,105.9","1,333.5",1569.2,1.731.3,"1,636.9"
Net Loans,636.9,735.8,870.4,977.1,"1,059.4",983.8
Client Deposits,596.4,697.4,808.7,961.5,"1,004.0","1,037.2"
Shareholders Equity,218.3,239.6,265.2,281.5,298.0,285.1
Net Income*,30.7,40.5,39.3,51.2,55.8,45.3
