USD,Euro,GBP,"Other foreign
currencies",Total
"168,907,887","32,330,103","8,961,030","1,115,898","211,314,918"
"132,012,111","6,199",(283),255,"132,018,282"
"47,763,636","(1,139,128)","(12,606)",-,"46,611,902"
"66,717,949",-,-,-,"66,717,949"
"415,401,583","31,197,174","8,948,141","1,116,153","456,663,051"
"86,618,740","10,473,546","(250,097)",33,"96,842,222"
"282,998,314","23,970,249","9,413,005","426,276","316,807,844"
"36,043,167","4,191,144","269,940","433,805","40,938,056"
"14,140,906",-,-,-,"14,140,906"
"419,801,127","38,634,939","9,432,848","860,114","468,729,028"
"(4,399,544)","(7,437,765)","(484,70)","256,106","(12,065,977)"
