Risk,Risk Management Approach,Outcomes in 2024
Credit Risk,"The Group employs rigorous credit approval frameworks
and a standardized credit review system to assess,
monitor, and manage portfolio health, ensuring
responsible lending.","The Group employs rigorous credit approval frameworks
and a standardized credit review system to assess, monitor,
and manage portfolio health, ensuring responsible lending."
Market Risk,"Market risk is actively managed through daily monitoring
of currency and interest rate risks, with the Board of
Directors setting exposure limits. Hedging strategies
are employed to maintain risk positions within defined
thresholds.","The Group closely monitored foreign exchange positions and
interest rate fluctuations to mitigate revaluation risks. Key
metrics (LCR, NSFR, NOP) remained well within regulatory
and internal limits, ensuring financial stability amid market
volatility."
Operational Risk,"A comprehensive operational risk framework covers
behavioural, cyber, credit, and compliance risks. The
Bank utilizes the Basic Indicator Approach to measure,
monitor, and mitigate risks across divisions.","The Group enhanced risk awareness through regular
monitoring, reporting, and employee training. This proactive
approach ensured preparedness against potential risks and
reinforced resilience in operational processes."
Concentration Risk,"Controls and measures are in place to prevent
overexposure in key sectors. These include portfolio
diversification, counterparty limits, and rigorous approval
mechanisms.","The Group effectively managed concentration risk across
client segments, economic sectors, and business lines.
Strategic diversification efforts, particularly through
increased lending to retail and SME clients, strengthened
portfolio balance."
"Capital and
Solvency Risk","The Group maintains an actively managed capital
base, overseen by the Asset-Liability Committee (ALCO).
Capital adequacy is continuously assessed against BNR
regulatory ratios and global best practices.","A solid capital base was maintained, reinforcing investor,
creditor, and market confidence. The Group successfully
sustained business growth while ensuring financial
soundness."
Funding Risk,"A diverse set of financial ratios is used to monitor and
manage cash flow risks associated with project financing.","The Group maintained a stable funding structure, securing
long-term sustainability and investor confidence while
ensuring operational liquidity."
Liquidity Risk,"The Group ensures liquidity through a disciplined
approach, monitoring the net liquid assets-to-deposits
ratio daily. Stress testing under various market conditions
ensures readiness for both normal and crisis scenarios.","The Group maintained strong liquidity levels, ensuring that
obligations were met on time and under all conditions—
without incurring losses or reputational risks."
