Entity,Total Assets Net Loans Customer Deposits Equity,Column,Column,Column,Column,Column,Column,Column
,% Market Share,Rank,% Market Share,Rank,% Market Share,Rank,% Market Share,Rank
,36.5%,1,42.8%,1,35.2%,1,41.6%,1
,17.7%,2,14.8%,3,19.0%,2,15.5%,3
,14.8%,3,19.7%,2,15.1%,3,16.6%,2
,11.7%,4,10.8%,4,9.6%,4,8.9%,4
,6.4%,5,2.5%,6,7.5%,5,4.5%,5
,4.0%,6,2.1%,8,5.0%,6,3.8%,6
,3.5%,7,3.6%,5,2.6%,9,3.5%,7
,2.9%,8,2.5%,7,2.9%,8,2.4%,9
,2.6%,9,1.2%,9,3.0%,7,3.3%,8
