Corporate,Stage 1,Stage 2,Stage 3,Gross Loans,"Impairment
allowance","Maximum
exposure to
credit risk","Fair value
of collateral","Net exposure/
surplus
collateral"
,"560,433,055","24,164,044","65,571,814","650,168,913","(65,141,537)","585,027,376","201,439,713","383,587,663"
,"19,442,990","303,920","1,444,427","21,191,338","(1,013,448)","20,177,890","78,250,395","(58,072,505)"
,"327,570,940","33,969,984","4,205,745","365,746,669","(7,905,261)","357,841,408","941,883,361","(584,041,953)"
,"2,340,944","143,309","289,230","2,773,484","(337,154)","2,436,330",-,"2,436,330"
,"50,360,460","323,010","529,641","51,213,111","(1,175,708)","50,037,403","70,884,331","(20,846,928"
,"960,148,389","58,904,268","72,040,858","1,091,093,515","(75,573,108)","1,015,520,407","1,292,457,800","(276,937,393)"
,"17,826,221","1,679,317","4,782,387","24,287,925","(4,658,238)","19,629,687","149,890,110","(130,260,423)"
,"466,925","3,773",0,"470,698","(4,244)","466,453","14,409,370","(13,942,917)"
,"919,611","219,917","144,879","1,284,407","(140,337)","1,144,070","35,225,871","(34,081,801)"
,"138,025,636","5,500,204","8,423,536","151,949,376","(10,119,897)","141,829,479","403,079","141,426,400"
,"64,715,682","1,849,557","805,662","67,370,901","(1,117,732)","66,253,169","33,440,159","32,813,010"
,"221,954,074","9,252,768","14,156,464","245,363,306","(16,040,449)","229,322,858","233,368,589","(4,045,731)"
,"578,259,276","25,843,361","70,354,201","674,456,839","(69,799,776)","604,657,063","351,329,822","253,327,241"
,"19,909,914","307,694","1,444,427","21,662,035","(1,017,692)","20,644,343","92,659,764","(72,015,421)"
,"328,490,551","34,189,901","4,350,624","367,031,076","(8,045,598)","358,985,478","977,109,234","(618,123,756)"
,"140,366,580","5,643,513","8,712,766","154,722,859","(10,457,051)","144,265,809","403,079","143,862,730"
,"115,076,141","2,172,567","1,335,303","118,584,012","(2,293,440)","116,290,572","104,324,489","11,966,083"
,"1,182,102,463","68,157,036","86,197,322","1,336,456,821","(91,613,557)","1,244,843,264","1,525,826,388","(280,983,124)"
