"Total Operating Income (Revenue) 63.5 44.9 5.8 (2.3%)
Total Recurring Operating Costs 21.6 15.2 2.0 10.1%
Pre-Provision Operating Profit 42.0 29.6 3.8 2.3%
Net Income 25.2 17.8 2.3 5.4%",Column,Column,Column,Column,Column,Column
,1Q 2025,,,Change,,
Profit & Loss (Quarter on Quarter) FRW (bn) US$ (mln) KES (bn) Q-o-Q,,,,,,
"Total Operating Income (Revenue) 63.5 44.9 5.8 (6.8%)
Total Recurring Operating Costs 21.6 15.2 2.0 18.0%
Pre-Provision Operating Profit 42.0 29.6 3.8 0.1%
Net Income 25.2 17.8 2.3 18.0%",,,,,,
,1Q 2025,,,Change,,
Balance Sheet (Year to Date) FRW (bn) US$ (mln) KES (bn) YTD,,,,,,
"Total Assets 2,605.7 1,841.6 249.7 3.3%
Net Loans and Advances 1,548.1 1,094.1 141.5 6.5%
Client Balances & Deposits 1,679.9 1,187.3 153.6 2.3%
Total Liabilities 2,142.6 1,514.3 205.4 2.9%
Shareholders' Equity 463.1 327.3 44.4 5.6%",,,,,,
"1Q 2025 2024 2023 2022 2021 2020
Gross Loans/Total Assets 62.3% 60.4% 63.0% 65.5% 67.5% 71.1%
Gross Loans/Total Deposits 84.5% 81.6% 85.2% 89.6% 92.6% 100.7%
Basic Book Value per share (FRw) 497.7 471.3 394.7 347.4 315.5 286.7
ROAA 3.9% 3.9% 3.8% 3.5% 3.6% 3.3%
ROAE 22.3% 22.6% 21.8% 19.8% 19.1% 16.0%
Basic EPS 108.2 97.8 80.6 65.0 57.4 42.6",,,,,,
,3.9%,3.9%,3.8%,3.5%,3.6%,3.3%
,22.3%,22.6%,21.8%,19.8%,19.1%,16.0%
,,,80.6,65.0,57.4,42.6
"The following exchange rates have been used for the translation of the Group's financial statements
1Q 2025 2024 2023 2022 2021 2020",,,,,,
"FRW/US$ Period End Exchange Rates 1,415.0 1,383.0 1,265.4 1,070.9 1,013.5 977.9",,,,,,
FRW/KES Period End Exchange Rates 10.9 10.7 8.1 8.7 8.9 8.9,,,,,,
